company_name,current_time,stock_price,ticker_symbol,trade_volume
"Advanced Micro Devices, Inc.",2022-07-15 11:12:41,79.86,AMD,"33,957,055"
Credit Suisse Group AG,2022-07-15 11:12:42,5.24,CS,"8,329,683"
"Meta Platforms, Inc.",2022-07-15 11:12:42,162.70,META,"8,478,115"
Southwestern Energy Company,2022-07-15 11:12:42,5.57,SWN,"7,516,121"
Barrick Gold Corporation,2022-07-15 11:12:42,15.53,GOLD,"8,524,025"
Grab Holdings Limited,2022-07-15 11:12:42,2.4150,GRAB,"8,604,546"
Intel Corporation,2022-07-15 11:12:42,38.24,INTC,"8,591,166"
"Micron Technology, Inc.",2022-07-15 11:12:42,60.71,MU,"8,158,891"
"Uber Technologies, Inc.",2022-07-15 11:12:42,20.99,UBER,"8,920,595"
Kinross Gold Corporation,2022-07-15 11:12:42,3.0450,KGC,"9,260,021"
Nokia Oyj,2022-07-15 11:12:42,4.5850,NOK,"9,494,844"
Freeport-McMoRan Inc.,2022-07-15 11:12:42,25.68,FCX,"8,630,258"
"Banco Santander, S.A.",2022-07-15 11:12:43,2.3850,SAN,"9,765,468"
Lloyds Banking Group plc,2022-07-15 11:12:43,1.9850,LYG,"9,138,085"
Shopify Inc.,2022-07-15 11:12:43,30.87,SHOP,"10,061,779"
DraftKings Inc.,2022-07-15 11:12:43,12.21,DKNG,"10,309,658"
Norwegian Cruise Line Holdings Ltd.,2022-07-15 11:12:43,11.56,NCLH,"6,526,619"
AT&T Inc.,2022-07-15 11:12:43,20.50,T,"6,308,208"
JPMorgan Chase & Co.,2022-07-15 11:12:43,111.72,JPM,"6,670,230"
Petróleo Brasileiro S.A. - Petrobras,2022-07-15 11:12:43,11.11,PBR,"7,003,099"
Occidental Petroleum Corporation,2022-07-15 11:12:43,57.82,OXY,"7,168,877"
"Novavax, Inc.",2022-07-15 11:12:44,50.93,NVAX,"6,785,728"
"SoFi Technologies, Inc.",2022-07-15 11:12:44,6.05,SOFI,"6,696,000"
"Ginkgo Bioworks Holdings, Inc.",2022-07-15 11:12:44,2.9750,DNA,"7,118,702"
"Tesla, Inc.",2022-07-15 11:12:44,718.17,TSLA,"11,206,819"
"AMC Entertainment Holdings, Inc.",2022-07-15 11:12:44,15.03,AMC,"10,722,542"
Gerdau S.A.,2022-07-15 11:12:44,4.2679,GGB,"7,529,014"
Vale S.A.,2022-07-15 11:12:44,12.64,VALE,"12,476,090"
Vonage Holdings Corp.,2022-07-15 11:12:44,20.97,VG,"11,325,922"
Microsoft Corporation,2022-07-15 11:12:44,258.97,MSFT,"11,385,239"
Roblox Corporation,2022-07-15 11:12:45,37.84,RBLX,"12,287,245"
ironSource Ltd.,2022-07-15 11:12:45,3.3600,IS,"12,652,321"
Snap Inc.,2022-07-15 11:12:45,13.72,SNAP,"13,928,827"
Ambev S.A.,2022-07-15 11:12:45,2.7000,ABEV,"11,854,690"
Banco Bradesco S.A.,2022-07-15 11:12:45,3.0550,BBD,"13,447,635"
American Airlines Group Inc.,2022-07-15 11:12:45,14.38,AAL,"14,847,554"
Wells Fargo & Company,2022-07-15 11:12:45,41.40,WFC,"16,356,567"
Palantir Technologies Inc.,2022-07-15 11:12:45,8.86,PLTR,"14,789,502"
NVIDIA Corporation,2022-07-15 11:12:46,156.01,NVDA,"16,460,654"
Carnival Corporation & plc,2022-07-15 11:12:46,8.96,CCL,"18,733,011"
Ford Motor Company,2022-07-15 11:12:46,11.70,F,"18,500,774"
Alibaba Group Holding Limited,2022-07-15 11:12:46,100.20,BABA,"18,100,474"
Bank of America Corporation,2022-07-15 11:12:46,31.64,BAC,"24,488,177"
Itaú Unibanco Holding S.A.,2022-07-15 11:12:46,4.1600,ITUB,"22,261,001"
"Pinterest, Inc.",2022-07-15 11:12:46,19.90,PINS,"20,697,904"
NIO Inc.,2022-07-15 11:12:46,20.30,NIO,"23,454,880"
Plug Power Inc.,2022-07-15 11:12:47,15.08,PLUG,"27,029,119"
"Amazon.com, Inc.",2022-07-15 11:12:47,114.00,AMZN,"28,424,205"
Citigroup Inc.,2022-07-15 11:12:47,48.82,C,"33,597,999"
Apple Inc.,2022-07-15 11:12:47,149.38,AAPL,"28,822,900"
company_name,current_time,stock_price,ticker_symbol,trade_volume
"Advanced Micro Devices, Inc.",2022-07-15 11:22:15,80.19,AMD,"36,146,827"
"Meta Platforms, Inc.",2022-07-15 11:22:15,163.35,META,"8,965,684"
"Micron Technology, Inc.",2022-07-15 11:22:15,60.74,MU,"8,517,760"
Freeport-McMoRan Inc.,2022-07-15 11:22:15,25.79,FCX,"9,154,362"
Barrick Gold Corporation,2022-07-15 11:22:15,15.62,GOLD,"9,225,914"
Intel Corporation,2022-07-15 11:22:15,38.34,INTC,"9,128,309"
Credit Suisse Group AG,2022-07-15 11:22:15,5.25,CS,"8,526,412"
Grab Holdings Limited,2022-07-15 11:22:15,2.4200,GRAB,"9,126,641"
Lloyds Banking Group plc,2022-07-15 11:22:16,1.9850,LYG,"9,459,894"
